,Coefficient,T-Statistic,P-Value,Conf. Int. Lower,Conf. Int. Upper
const,-1.195952238,,,,
os_name_windows,0.117558551,4.502809132,6.71E-06,0.066388155,0.168728946
age_group_18-24,-0.019083512,-2.006772167,0.044773928,-0.037721899,-0.000445125
age_group_25-34,-0.174794544,-21.51640219,1.09E-102,-0.190716863,-0.158872225
age_group_unknown,0.26057608,6.87E-07,0.999999452,-743847.1841,743847.7053
gender_female,-0.833990672,-1.55E-05,0.999987621,-105361.5033,105359.8353
gender_male,-0.645529809,-1.20E-05,0.999990419,-105361.3149,105360.0238
gender_unknown,0.260575943,6.86E-07,0.999999453,-745012.1769,745012.6981
clicks,-0.011646647,-3.669194915,0.000243316,-0.017867904,-0.005425389
other_search,-0.043483251,-11.31966551,1.05E-29,-0.051012237,-0.035954264
active_day,-2.026250439,-124.0791285,0,-2.058257255,-1.994243622
life_time,-0.119679315,-27.8835223,4.23E-171,-0.128091708,-0.111266922
not_active_day,0.860482472,207.6813832,0,0.852361789,0.868603155
total_active_time,0.062010858,13.95963785,2.75E-44,0.053304396,0.070717319
ads_impression,-0.074900516,-6.393388422,1.62E-10,-0.097862098,-0.051938934
ads_revenue,0.00086178,1.244488469,0.21331984,-0.000495451,0.002219011
newtab_count,0.090204567,8.894630799,5.86E-19,0.070327665,0.110081468
signin_count,-0.322705594,-29.95848424,3.41E-197,-0.343817855,-0.301593333
work_count,0.000917551,2.973308483,0.002946082,0.000312714,0.001522388
social_count,0.001398014,6.94504038,3.78E-12,0.00100348,0.001792549
news_count,-0.000847075,-2.331797844,0.019711329,-0.001559074,-0.000135077
search_volume_gg,0.004161839,1.948939861,0.051302607,-2.35E-05,0.00834722
search_volume,0.041097353,5.855252186,4.76E-09,0.027340587,0.054854118
serp_click,-0.004354411,-0.853925056,0.393146515,-0.014348834,0.005640012
search_clicks_gg,-0.004678096,-3.721065673,0.000198384,-0.007142148,-0.002214044
youtube_count,0.013962931,12.76388235,2.61E-37,0.011818846,0.016107015
other_search_gg,-0.007687073,-3.679188955,0.000233977,-0.011782103,-0.003592044